cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
A-253	A-253	ATCC:CRL-7902	X	"12,13"	"9,12"	12	0	0	0	0	0	11	"10,12"	0	0	0	"6,8"	"8,12"	16
NCI-BL2195	NCI-BL2195	ATCC:CRL-5956	"X,Y"	11	11	"10,14"	0	0	0	0	0	"11,12"	"10,11"	0	0	0	9.3	"8,9"	"17,18"
LCL-WEI	LCL-WEI	DSM:ACC-218	"X,Y"	"10,11"	"11,12"	13	0	0	0	0	0	"11,13"	12	0	0	0	9.3	"8,10"	17
Hs 212.M	Hs 212.M	ATCC:CRL-7173	"X,Y"	"11,12"	12	11	0	0	0	0	0	"13,15"	"8,11"	0	0	0	"6,9"	11	"16,18"
QGP-1	QGP-1	JCRB:0183	X	"10,12"	13	"10,12"	13	0	29	0	"14,17"	12	12	14	"21,23"	E	"6,9"	"8,11"	"14,17,18"
HLC-1	HLC-1	RCB:0083	X	"7,12"	8	"9,12"	0	0	0	0	0	"9,10"	"11,13"	0	0	0	"7,9"	12	"16,17"
PC-3	PC-3	JCRB:0077	X	"12,15"	"11,12"	10	"14,15"	0	"29,31.2"	0	16	12	"11,13"	13	24	E	9	8	14
HCC2911	HCC2911	GNE:586180	X	"8,13"	"12,13"	"11,13"	15	0	"30,32.2"	0	"17,18"	"11,12"	8	"12,14"	21	E	"6,9.3"	"9,12"	"16,18"
Hs 523.Sk	Hs 523.Sk	ATCC:CRL-7314	"X,Y"	"9,10"	"12,13"	"10,13"	0	0	0	0	0	"10,11"	"10,11"	0	0	0	"7,9.3"	"8,9"	"15,18"
HCC78	HCC78	GNE:586319	"X,Y"	"11,12"	"8,12"	"11,13"	"12,16"	0	"29,30"	0	"16,17"	"11,12"	9	"13,14"	"21,22"	E	"7,9.3"	"8,11"	"15,18"
ACH-1P	AC-1M32	DSM:ACC-481	"X,Y"	"11,12,10"	"9,11"	"12,13,14"	0	0	0	0	0	"10,11"	"10,12,13"	0	0	0	"9,9.3"	"8,11,12"	"14,16"
																			
W5-6	Calu-1	ATCC:CRL-9267	X	10	"11,12"	11	0	0	0	0	0	"10,12"	"9,10"	0	0	0	"9,9.3"	8	16
																			
Cri du Chat	Cri du Chat	ATCC:CCL-90	X	"10,12"	11	"11,12"	0	0	0	0	0	"10,11"	"8,11"	0	0	0	9.3	8	"15,16"
																			
NCI-H747	NCI-H747	ATCC:CCL-252	"X,Y"	"11,12"	"11,12"	"9,12"	0	0	0	0	0	11	10	0	0	0	6	"8,11"	"16,19"
																			
LCLC-103H	LCLC-103H	GNE:586326	"X,Y"	"10,12"	11	13	19	0	"29,31.2"	0	"16,17"	12	"8,11"	"12,14"	22	E	6	8	"14,16"
																			
HCC1354	HCC1354	GNE:587050	X	"8,12"	"11,12"	9	16	"11,12,13"	"28,29"	"16,26"	14	"8,12"	"10,11"	12	23	E	7	8	14
																			
C32TG	C32	RCB:1929	"X,Y"	"11,12"	12	"11,12"	0	0	0	0	0	12	"9,10,11"	0	0	0	9.3	9	"14,19"
																			
NCI-H810	NCI-H810	ATCC:CRL-5816	"X,Y"	10	"12,13"	9	"12,18"	0	29	0	17	11	10	"11,14"	"25,26"	E	"7,9"	"10,11"	"15,16"
																			
LNCaP.FGC	0	ATCC:CRL-1740	"X,Y"	"10,11"	"10,12"	11	0	0	0	0	0	"11,12"	"9.1,10.3"	0	0	0	9	"8,9"	"16,18"
																			
TE-8	TE-8	RCB:2098	X	"11,12"	11	9	0	0	0	0	0	"11,12"	12	0	0	0	"6,7"	"8,9"	"14,18"
																			
EM-2	EM-2	GNE:586562	X	"10,12"	"9,12"	"11,12"	"13,15"	0	30	0	"14,16"	"8,12"	10	14	"21,22"	E	9.3	"8,12"	"14,17"
																			
HE52	HE52	RCB:2268	X	12	"8,12"	12	0	0	0	0	0	"9,13"	11	0	0	0	"6,7"	"11,12"	"14,18"
																			
GDM-1	GDM-1	GNE:586277	X	12	"11,12"	12	"12,13"	0	29	0	"14,15"	13	"11,12"	"14,16"	"22,23"	E	6	"8,11"	"16,17"
																			
