,Gene,aboral-1,aboral-2,aboral-3,aboral-4,oral-1,oral-2,oral-3,oral-4
1,ML087114a,2.822658847,7.984581931,1.712278262,0.983752211,17974.26123,20852.10726,42894.61215,39617.46967
2,ML20265a,2.822658847,13.30763655,6.849113047,18.69129201,1740.952875,1234.05124,2117.228589,1759.240408
3,ML463533a,8.467976541,20.40504271,9.41753044,12.78877874,547.3137791,515.7229063,692.7337779,558.5421067
4,ML085213a,47.04431412,90.49192855,42.80695655,52.13886718,1902.305011,2200.489964,3194.136909,2592.036723
5,ML01433a,212.6402998,333.5780896,415.2274785,471.2173091,14912.23774,12982.99913,22573.60827,26045.23093
6,ML01248a,9.408862823,4.435878851,7.705252178,13.77253095,443.7183737,430.1302391,473.205468,367.9019864
7,ML048111a,16.93595308,4.435878851,8.561391309,26.5613097,2248.845394,1992.467279,3220.968147,2004.508399
8,ML039720a,69.62558489,74.52276469,48.79993046,71.8139114,1609.854265,1473.494018,1137.888406,2186.229683
9,ML106622a,57.39406322,82.50734662,69.3472696,79.68392909,1405.413775,871.094993,1379.369547,1435.932602
10,ML327424a,4774.056997,3218.673694,5341.452038,9748.000659,8.250961495,5.417257419,29.27044132,15.60796306
11,ML06458a,169.3595308,159.6916386,172.0839653,242.0030439,3558.914725,2242.744572,3881.99228,2983.350654
12,ML01051a,931.4774195,1852.423008,1379.24014,1163.778866,22.00256399,42.25460787,32.92924648,40.13476216
13,ML26495a,7.527090259,14.19481232,9.41753044,9.83752211,330.9552333,306.6167699,351.2452958,411.3813121
14,ML258223a,113.8472402,116.2200259,95.88758266,113.1315043,2269.931185,1823.448847,4211.284745,3140.545139
15,ML258222a,262.5072728,244.8605126,200.3365566,199.7016988,3761.521668,4085.695546,8283.534893,6501.831469
16,ML34341a,0,0,0.856139131,1.967504422,7869.583719,18610.44614,19750.23028,12644.67979
17,ML07761a,4.704431412,2.66152731,3.424556524,6.886265477,429.9667712,358.6224412,421.9821957,277.5987716
18,ML004510a,199.4678919,71.86123738,32.53328697,197.7341944,22064.90458,34514.43047,66495.12507,77464.55038
19,ML398325a,10.34974911,0,7.705252178,5.902513266,412.5480747,354.2886352,492.7190955,471.5834553
20,ML02662a,276.620567,303.4141134,231.1575653,215.4417342,3166.535667,2000.051439,3650.267953,3449.359836
21,ML069111a,0,3.54870308,2.568417393,0.983752211,1249.56228,814.7555159,2285.533626,1421.439493
22,ML00194a,668.0292605,479.9620916,802.2023657,646.3252026,38.50448697,52.00567122,54.88207747,59.08728873
23,ML043317a,60.21672207,83.39452239,80.47707831,89.5214512,2497.291012,1190.713181,1817.206565,1207.387428
24,ML03509a,58.33494951,90.49192855,77.05252178,42.30134507,1800.543153,967.5221751,1253.75057,1561.911161
25,ML216343a,181.5910525,136.6250686,275.6768002,117.0665131,4116.313012,2670.707908,4136.88904,3870.774839
26,ML28202a,3.763545129,3.54870308,9.41753044,5.902513266,220.0256399,275.1966769,324.414058,256.416536
27,ML079713a,76.21178887,57.66642506,89.89460875,176.0916458,4240.077435,2465.935577,3814.914185,3245.341462
28,ML22675a,194.7634604,91.37910432,128.4208696,180.0266546,2461.536846,1641.428998,2545.308793,2398.052039
29,ML073248a,0.940886282,7.097406161,4.280695655,1.967504422,607.8208301,275.1966769,537.8443592,608.7105594
30,ML148517a,6.586203976,25.72809733,11.1298087,25.57755749,2545.880008,1310.976295,3766.130116,1143.840721
31,ML02676a,79.03444772,100.250862,148.9682088,78.70017688,7217.757761,2512.523991,2859.966037,3428.177601
32,ML08441a,9.408862823,15.96916386,27.39645219,24.59380528,704.0820475,959.9380147,1855.014219,738.0336819
