Jurisdiction,Homicide rate,Gun accident rate,Sum,Brady score,Brady grade
Alabama,7.1,0.44,7.5,3.5,D?
Alaska,4.1,0,4.1,-7.0,F
Arizona,5.5,0.1,5.6,-8.0,F
Arkansas,5.9,0.41,6.3,1.0,F
California,5.0,0.08,5.1,75.0,A?
Colorado,3.1,0.18,3.3,14.5,C
Connecticut,4.1,0,4.1,70.0,A?
D.C.,13.9,0,13.9,50.0,B
Delaware,6.2,0,6.2,34.5,B?
Florida,5.2,0.13,5.3,3.0,F
Georgia,5.9,0.29,6.2,2.0,F
Hawaii,2.1,0,2.1,58.5,B+
Idaho,1.8,0.38,2.2,0.0,F
Illinois,5.8,0.14,5.9,45.0,B
Indiana,4.7,0.22,4.9,4.5,D?
Iowa,1.5,0.11,1.6,14.0,C?
Kansas,2.9,0.2,3.1,-4.0,F
Kentucky,4.5,0.4,4.9,-3.5,F
Louisiana,10.8,0.75,11.6,-2.0,F
Maine,1.9,0,1.9,3.0,F
Maryland,6.3,0.07,6.4,66.5,A?
Massachusetts,1.8,0,1.8,60.5,B+
Michigan,7.0,0.09,7.1,15.0,C
Minnesota,1.8,0.08,1.9,19.5,C
Mississippi,7.4,0.65,8.1,-4.0,F
Missouri,6.5,0.33,6.8,-0.5,F
Montana,2.7,0.43,3.1,-3.0,F
Nebraska,2.9,0.29,3.2,6.5,D
Nevada,4.5,0.13,4.6,1.5,F
New Hampshire,1.1,0,1.1,5.5,D?
New Jersey,4.4,0,4.4,68.5,A?
New Mexico,5.6,0,5.6,0.0,F
New York,3.5,0.02,3.5,65.5,A?
North Carolina,4.9,0.29,5.2,1.5,F
North Dakota,4.0,0,4.0,2.0,F
Ohio,4.3,0.14,4.4,10.0,D
Oklahoma,5.7,0.39,6.1,1.0,F
Oregon,2.4,0.13,2.5,11.0,D+
Pennsylvania,5.4,0.28,5.7,20.0,C
Rhode Island,3.2,0,3.2,41.5,B?
South Carolina,6.9,0.41,7.3,1.0,F
South Dakota,3.0,0,3.0,-4.5,F
Tennessee,6.0,0.37,6.4,2.0,F
Texas,4.4,0.18,4.6,1.5,F
Utah,1.8,0,1.8,-2.0,F
Vermont,1.3,0,1.3,-4.0,F
Virginia,3.8,0.13,3.9,7.0,D
Washington,3.0,0.12,3.1,19.5,C
West Virginia,3.9,0.23,4.1,3.0,F
Wisconsin,3.0,0.09,3.1,13.0,C?
Wyoming,2.4,0,2.4,-5.0,F
